Number,Question,Answer,Country,Details,Report
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Argentina,No est n autorizadas esas tecnolog¡as a nivel nacional,https://www.cbd.int/doc/world/ar/ar-nr-03-es.doc
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","No, but some programmes are under development",Bhutan,"On the invitation of the South East Asia Regional Initiative for Community Empowerment (SEARICE) Program Coordinating Unit of the BUCAP a four member delegate consisting of a farmer, Agriculture Extension Agent, Researcher and a Conservation Officer attended SBATTA 10 from 7 to 11 February 2005 at Bangkok, Thailand...",https://www.cbd.int/doc/world/bt/bt-nr-03-en.doc
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Brazil,"Although Brazil has not developed programs specifically related to GURTS, there are mechanisms in the country which allow the participation of those who detain traditional knowledge in the decision-making processesÿ",https://www.cbd.int/doc/world/br/br-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Burundi,,https://www.cbd.int/doc/world/bi/bi-nr-03-fr.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Cambodia,,https://www.cbd.int/doc/world/kh/kh-nr-03-en.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?","No, but some programmes are under development",Cameroon,La SPANB pr‚voit la manipulation des OGM … l?int‚rieur de chaque ‚cosystŠme ÿ,https://www.cbd.int/doc/world/cm/cm-nr-03-fr.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Central African Republic,Aucune mesure n?a ‚t‚ prise dans ce sens. L?Etat est confront‚ … des difficult‚s relatives … la faible adoption des techniques et des technologies appropri‚es qui ne privil‚gient pas la recherche...,https://www.cbd.int/doc/world/cf/cf-nr-03-fr.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Chile,,https://www.cbd.int/doc/world/cl/cl-nr-03-es.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Colombia,"En el marco del proyecto Creaci¢n de capacidad de procesos de informaci¢n para la aplicaci¢n efectiva del art¡culo 8j, coordinado por la Oficina de Asuntos Internacionales del Ministerio da Ambiente, Vivienda y Desarrollo territorial, se cre¢ una instancia donde participaron delegados de comunidades campesinas, Raizales, el Pueblo Rom, los pueblos ind¡genas y las comunidades afrocolombianas del pa¡s...",https://www.cbd.int/doc/world/co/co-nr-03-es.pdf
57,"Has your country created and developed capacity-building programmes to involve and enable smallholder farmers, indigenous and local communities, and other relevant stakeholders to effectively participate in decision-making processes related to genetic use restriction technologies?",No,Costa Rica,,
