Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.dgmglobal.org/ecuador"" target='_blank'>Untitled DGM</a>",,4500000,0,,Ecuador,DGM,,Pending,1,National
"<a href=""https://www.dgmglobal.org/guatemala"" target='_blank'>Untitled DGM</a>",,4500000,0,,Guaemala,DGM,,Pending,1,National
"<a href=""https://www.dgmglobal.org/mozambique"" target='_blank'>Dedicated Grant Mechanism for Local Communities</a>",,4500000,0,,Mozambique,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/nepal"" target='_blank'>Untitled DGM</a>",,4500000,0,,Nepal,DGM,,Pending,1,National
"<a href=""https://www.dgmglobal.org/republic-of-congo"" target='_blank'>Untitled DGM</a>",,4500000,0,,Republic of the Congo,DGM,,Pending,1,National
Untitled DGM,,4500000,0,,Laos,DGM,,Canceled,1,National
"<a href=""https://www.dgmglobal.org/peru"" target='_blank'>Saweto Dedicated Grant Mechanism for Indigenous Peoples and Local Communities</a>",,5500000,0,,Peru,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/drc"" target='_blank'>Forest Dependent Communities Support Project</a>",,6000000,0,,DR Congo,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/mexico"" target='_blank'>Dedicated Grant Mechanism for Indigenous Peoples and Local Communities</a>",,6000000,0,,Mexico,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/brazil"" target='_blank'>Dedicated Grant Mechanism for Indigenous Peoples, Local Communities, and Quilombolas of the Cerrado</a>",,6500000,0,,Brazil,DGM,,Ongoing,1,National
"<a href=""https://www.dgmglobal.org/indonesia"" target='_blank'>Strengthening Rights and Economies of Adat and Local Communities</a>",,6500000,0,,"Indonesia, West Papua",DGM,,Ongoing,1,National
"<a href=""https://www.greenclimate.fund/project/fp005"" target='_blank'>KawiSafi Ventures Fund</a>",,25000000,85000000,,Kenya Rwanda,GCF,2015-2021,,0,Transnational
"<a href=""https://www.greenclimate.fund/project/fp001"" target='_blank'>Building the Resilience of Wetlands in the Province of Datem del Marañón, Peru</a>",,6240000,2870000,,Peru,GCF,2015-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp007"" target='_blank'>Supporting vulnerable communities in Maldives to manage climate change-induced water shortages</a>",,23640000,4593000,,Maldives,GCF,2015-2022,,1,National
"<a href=""https://www.greenclimate.fund/project/fp002"" target='_blank'>Scaling up the use of Modernized Climate information and Early Warning Systems in Malawi</a>",,12295000,3970000,,Malawi,GCF,2015-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp003"" target='_blank'>Increasing the resilience of ecosystems and communities through the restoration of the productive bases of salinized lands</a>",,7610000,546000,,Senegal,GCF,2015-2024,,1,National
"<a href=""https://www.greenclimate.fund/project/fp004"" target='_blank'>Climate Resilient Infrastructure Mainstreaming (CRIM)</a>",,40000000,41001500,,Bangladesh,GCF,2015-2024,,0,National
"<a href=""https://www.greenclimate.fund/project/fp008"" target='_blank'>Fiji Urban Water Supply and Wastewater Management Project</a>",,31040000,374100000,,Fiji,GCF,2015-2025,,0,National
"<a href=""https://www.greenclimate.fund/project/fp023"" target='_blank'>Climate Resilient Agriculture in three of the Vulnerable Extreme northern crop growing regions (CRAVE)</a>",,9500000,500000,,Namibia,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp024"" target='_blank'>Enpower to Adapt: Creating Climate-Change Resilient Livelihoods through  Community-Based Natural Resource Management (CBNRM) in Namibia</a>",,10000000,0,,Namibia,GCF,2016-2022,,1,National
"<a href=""https://www.greenclimate.fund/project/fp028"" target='_blank'>MSME Business Loan Program for GHG Emission Reduction</a>",,20000000,40000000,,Mongolia,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp035"" target='_blank'>Climate Information Services for Resilient Development Planning in Vanuatu (Van-CIS-RDP)</a>",,22953000,3682000,,Vanuatu,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp013"" target='_blank'>Improving the resilience of vulnerable coastal communities to climate change related impacts in Viet Nam</a>",,29523000,11006625,,Vietnam,GCF,2016-2022,,1,National
"<a href=""https://www.greenclimate.fund/project/fp018"" target='_blank'>Scaling-up of Glacial Lake Outburst Flood (GLOF) risk reduction in Northern Pakistan</a>",,36960000,500000,,Pakistan,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp022"" target='_blank'>Development of arganiculture orchards in degraded environment (DARED)</a>",,39292600,9895400,,Morocco,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp019"" target='_blank'>Priming Financial and Land Use Planning Instruments to Reduce Emissions from Deforestations</a>",,41172739,42835908,,Ecuador,GCF,2016-2022,,0,National
"<a href=""https://www.greenclimate.fund/project/fp021"" target='_blank'>Senegal Integrated Urban Flood Management Project</a>",,16556291,61810153,,Senegal,GCF,2016-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp010"" target='_blank'>De-Risking and Scaling-up Investment in Energy Efficient Building Retrofits</a>",,20000000,96070000,,Armenia,GCF,2016-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp011"" target='_blank'>Large-scale Ecosystem-based Adaptation in The Gambia: developing a climate-resilient, natural resource-based economy</a>",,20546756,4974611,,Gambia,GCF,2016-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp037"" target='_blank'>Integrated Flood Management to Enhance Climate Resilience of the Vaisigano River Catchment in Samoa</a>",,57718000,8000000,,Samoa,GCF,2016-2023,,0,National
"<a href=""https://www.greenclimate.fund/project/fp009"" target='_blank'>Energy Savings Insurance (ESI) for private energy efficiency investments by Small and Medium-Sized Enterprises (SMEs)</a>",,21700000,20000000,,El Salvador,GCF,2016-2024,,0,National
