EoI,Geography,Reviews,Average,Total,Min,Max,Range,Percentile,Rank
10,Congo Basin,1,61,61,61,61,NA,0.64,6
24,Congo Basin,1,83,83,83,83,NA,1.00,1
54,Congo Basin,1,9,9,9,9,NA,0.07,14
69,Congo Basin,1,4,4,4,4,NA,0.00,15
85,Congo Basin,1,79,79,79,79,NA,0.93,2
93,Selected,2,78,156,75,81,6,0.86,3
107,Congo Basin,2,60.5,121,59,62,3,0.57,7
115,Congo Basin,2,37.5,75,22,53,31,0.21,12
212,Congo Basin,2,56,112,31,81,50,0.29,11
273,Congo Basin,1,17,17,17,17,NA,0.14,13
292,Congo Basin,2,59.5,119,56,63,7,0.50,8
293,Congo Basin,2,57.5,115,52,63,11,0.36,10
301,Congo Basin,2,72,144,66,78,12,0.79,4
304,Congo Basin,2,67.5,135,58,77,19,0.71,5
328,Congo Basin,1,58,58,58,58,NA,0.43,9
