EoI,Geography,nReviews,Average,Avg_Sec_1,Avg_Sec_2,Avg_Sec_3,Total,Min,Max,Range,Geog_Rank,Geog_Percentile,Overall_Rank,Overall_Percentile
386,Andes/ Amazon,2,66.5,21.5,25.5,19.5,133,41,92,51,30,0.09,78.5,0.43
400,Andes/ Amazon,2,70.5,22,26,22.5,141,56,85,29,25,0.25,65.5,0.53
341,Andes/ Amazon,2,71.5,20,30.5,21,143,63,80,17,23,0.28,63,0.54
336,Andes/ Amazon,2,84,27,34,23,168,76,92,16,4,0.91,12.5,0.91
299,Andes/ Amazon,3,78,24,30.33,23.67,234,69,95,26,15.5,0.53,37,0.72
391,Andes/ Amazon,2,64.5,20.5,25,19,129,57,72,15,31,0.06,85.5,0.38
124,Andes/ Amazon,2,81.5,24.5,34,23,163,81,82,1,8.5,0.75,23,0.83
388,Andes/ Amazon,2,50,16,20,14,100,40,60,20,33,0,122.5,0.11
334,Andes/ Amazon,2,73.5,25,31,17.5,147,72,75,3,20,0.41,54.5,0.61
332,Andes/ Amazon,2,80.5,26,31.5,23,161,63,98,35,11,0.69,27,0.81
265,Andes/ Amazon,2,75,22.5,29,23.5,150,71,79,8,18,0.47,47.5,0.65
176,Andes/ Amazon,2,84.5,26,36.5,22,169,81,88,7,3,0.94,10.5,0.93
130,Andes/ Amazon,2,78,23,33.5,21.5,156,75,81,6,15.5,0.53,37,0.72
333,Andes/ Amazon,2,73,22,26.5,24.5,146,72,74,2,21,0.38,56.5,0.59
290,Andes/ Amazon,2,80,24.5,28,27.5,160,77,83,6,12,0.66,28,0.8
184,Andes/ Amazon,2,67,23.5,23.5,20,134,61,73,12,29,0.13,77,0.45
245,Andes/ Amazon,2,70,21,26,23,140,67,73,6,26,0.22,68.5,0.5
231,Andes/ Amazon,2,74,23,30,21,148,72,76,4,19,0.44,52,0.62
205,Andes/ Amazon,2,82.5,25.5,33,24,165,82,83,1,6,0.81,17,0.88
404,Andes/ Amazon,2,79.5,22,33,24.5,159,73,86,13,13,0.63,29,0.8
140,Andes/ Amazon,2,64,19.5,25,19.5,128,58,70,12,32,0.03,88.5,0.36
405,Andes/ Amazon,2,77,22,29.5,25.5,154,77,77,0,17,0.5,41,0.71
393,Andes/ Amazon,2,81.5,25.5,33,23,163,80,83,3,8.5,0.75,23,0.83
276,Andes/ Amazon,2,82.5,26.5,32,24,165,80,85,5,6,0.81,17,0.88
378,Andes/ Amazon,2,86.5,26,32.5,28,173,81,92,11,2,0.97,9,0.94
236,Andes/ Amazon,2,69,21.5,27.5,20,138,62,76,14,27,0.19,72.5,0.48
280,Andes/ Amazon,2,82.5,24.5,31,27,165,81,84,3,6,0.81,17,0.88
278,Andes/ Amazon,2,68.5,23.5,25,20,137,59,78,19,28,0.16,74.5,0.46
324,Andes/ Amazon,3,78.67,23,29,26.67,236,71,83,12,14,0.59,32,0.78
157,Andes/ Amazon,2,94,27,39,28,188,94,94,0,1,1,1,1
185,Andes/ Amazon,3,80.67,25.33,31,24.33,242,66,95,29,10,0.72,26,0.82
253,Andes/ Amazon,2,71.5,22.5,24,25,143,68,75,7,23,0.28,63,0.54
133,Andes/ Amazon,2,71.5,21.5,28,22,143,71,72,1,23,0.28,63,0.54
222,Coastal East Africa,2,60.5,16,26.5,18,121,57,64,7,5,0.43,103,0.25
398,Coastal East Africa,1,70,25,26,19,70,70,70,NA,1,1,68.5,0.5
165,Coastal East Africa,2,47.5,19.5,23,5,95,30,65,35,7,0.14,129,0.07
234,Coastal East Africa,2,62,20,23,19,124,45,79,34,4,0.57,96,0.31
291,Coastal East Africa,2,46.5,16,16,14.5,93,27,66,39,8,0,130,0.07
106,Coastal East Africa,2,68.5,20.5,25,23,137,51,86,35,2,0.86,74.5,0.46
263,Coastal East Africa,2,60,18,29,13,120,46,74,28,6,0.29,105.5,0.24
110,Coastal East Africa,2,65.5,18,25,22.5,131,65,66,1,3,0.71,81,0.42
115,Congo Basin,2,37.5,16.5,9.5,11.5,75,22,53,31,12,0.21,135,0.03
85,Congo Basin,2,75,23.5,28.5,23,150,71,79,8,2.5,0.86,47.5,0.65
212,Congo Basin,2,56,16,24,16,112,31,81,50,11,0.29,113.5,0.18
107,Congo Basin,2,60.5,21,20,19.5,121,59,62,3,7,0.57,103,0.25
10,Congo Basin,2,63.5,21.5,25.5,16.5,127,61,66,5,6,0.64,92.5,0.33
24,Congo Basin,2,75,24,28,23,150,67,83,16,2.5,0.86,47.5,0.65
93,Congo Basin,2,78,23,33.5,21.5,156,75,81,6,1,1,37,0.72
69,Congo Basin,3,24.67,10.67,5.67,8.33,74,4,63,59,14,0.07,138,0.01
54,Congo Basin,3,14.33,4.33,4.67,5.33,43,0,34,34,15,0,139,0
292,Congo Basin,2,59.5,22.5,20,17,119,56,63,7,8,0.5,107.5,0.22
293,Congo Basin,2,57.5,21.5,21,15,115,52,63,11,10,0.36,110.5,0.2
301,Congo Basin,2,72,24.5,28.5,19,144,66,78,12,4,0.79,60,0.57
304,Congo Basin,2,67.5,22,27,18.5,135,58,77,19,5,0.71,76,0.46
328,Congo Basin,2,58,23,19.5,15.5,116,58,58,0,9,0.43,109,0.22
273,Congo Basin,3,28.67,13,9,6.67,86,17,35,18,13,0.14,137,0.01
151,East Africa Drylands,2,32,8.5,12,11.5,64,27,37,10,26,0,136,0.02
155,East Africa Drylands,2,93.5,26,38.5,29,187,92,95,3,1,1,2.5,0.99
170,East Africa Drylands,2,81.5,22.5,31,28,163,77,86,9,4,0.88,23,0.83
220,East Africa Drylands,2,77.5,26.5,29,22,155,69,86,17,6,0.8,40,0.72
172,East Africa Drylands,2,62.5,22,25,15.5,125,52,73,21,15,0.44,95,0.32
196,East Africa Drylands,2,39,12.5,13.5,13,78,16,62,46,25,0.04,134,0.04
344,East Africa Drylands,2,43,17,15,11,86,41,45,4,23,0.12,131,0.06
5,East Africa Drylands,2,72,23,28.5,20.5,144,70,74,4,10,0.64,60,0.57
396,East Africa Drylands,2,79,24.5,30.5,24,158,78,80,2,5,0.84,30.5,0.78
34,East Africa Drylands,2,61.5,20,27,14.5,123,46,77,31,16,0.4,99,0.28
411,East Africa Drylands,2,57.5,19,22,16.5,115,41,74,33,18,0.32,110.5,0.2
207,East Africa Drylands,3,56,16,19.67,20.33,168,26,78,52,19,0.28,113.5,0.18
143,East Africa Drylands,2,70,22.5,29,18.5,140,66,74,8,11,0.6,68.5,0.5
239,East Africa Drylands,2,73.5,21,31.5,21,147,58,89,31,8,0.72,54.5,0.61
356,East Africa Drylands,2,69,22.5,27,19.5,138,64,74,10,12,0.56,72.5,0.48
275,East Africa Drylands,2,63,18.5,26.5,18,126,56,70,14,14,0.48,94,0.33
150,East Africa Drylands,2,76.5,22.5,33,21,153,76,77,1,7,0.76,43.5,0.68
327,East Africa Drylands,2,88.5,26,35.5,27,177,78,99,21,2,0.96,5,0.96
232,East Africa Drylands,3,51,15.33,18,17.67,153,49,55,6,21,0.2,119.5,0.14
187,East Africa Drylands,3,55.33,19.33,19.67,16.33,166,45,63,18,20,0.24,115,0.17
152,East Africa Drylands,2,83.5,26,31.5,26,167,81,86,5,3,0.92,14,0.91
112,East Africa Drylands,2,50,19,17.5,13.5,100,45,55,10,22,0.16,122.5,0.11
409,East Africa Drylands,1,41,16,10,15,41,41,41,NA,24,0.08,133,0.04
271,East Africa Drylands,2,64,20,23.5,20.5,128,35,93,58,13,0.52,88.5,0.36
267,East Africa Drylands,2,73,23.5,26.5,23,146,68,78,10,9,0.68,56.5,0.59
77,East Africa Drylands,2,60,22,21,17,120,47,73,26,17,0.36,105.5,0.24
274,Gran Chaco,3,65,18.33,24.33,22.33,195,64,66,2,4,0.4,83,0.4
173,Gran Chaco,2,41.5,12.5,16,13,83,41,42,1,6,0,132,0.05
337,Gran Chaco,2,75,20.5,29.5,25,150,72,78,6,2,0.8,47.5,0.65
373,Gran Chaco,2,72,21.5,30.5,20,144,70,74,4,3,0.6,60,0.57
178,Gran Chaco,2,48.5,17,20,11.5,97,43,54,11,5,0.2,125,0.1
376,Gran Chaco,2,82,25.5,32.5,24,164,68,96,28,1,1,20,0.86
242,Himalayas,2,66.5,20,32,14.5,133,63,70,7,5,0.43,78.5,0.43
248,Himalayas,2,59.5,18.5,23,18,119,52,67,15,7,0.14,107.5,0.22
249,Himalayas,2,83,23.5,34,25.5,166,76,90,14,3,0.71,15,0.9
345,Himalayas,3,61.67,18,25.67,18,185,53,67,14,6,0.29,97,0.3
142,Himalayas,2,84.5,24.5,33.5,26.5,169,74,95,21,1,1,10.5,0.93
19,Himalayas,2,84,25.5,31.5,27,168,80,88,8,2,0.86,12.5,0.91
12,Himalayas,2,50,16.5,19,14.5,100,36,64,28,8,0,122.5,0.11
225,Himalayas,2,74,23,30,21,148,68,80,12,4,0.57,52,0.62
347,Melanesia,2,61.5,20,23,18.5,123,59,64,5,8,0,99,0.28
36,Melanesia,2,76.5,25,29.5,22,153,69,84,15,4.5,0.43,43.5,0.68
384,Melanesia,2,78,24.5,32.5,21,156,70,86,16,3,0.71,37,0.72
374,Melanesia,2,76.5,26,35.5,15,153,69,84,15,4.5,0.43,43.5,0.68
199,Melanesia,2,79,25.5,32.5,21,158,77,81,4,2,0.86,30.5,0.78
200,Melanesia,2,65,20,21.5,23.5,130,49,81,32,7,0.14,83,0.4
269,Melanesia,2,81.5,24,35,22.5,163,71,92,21,1,1,23,0.83
97,Melanesia,2,74.5,22.5,29,23,149,61,88,27,6,0.29,50,0.64
139,Melanesia/ Polynesia,2,69.5,24,22.5,23,139,67,72,5,3,0,71,0.49
144,Melanesia/ Polynesia,2,88.5,26.5,34.5,27.5,177,84,93,9,1.5,0.5,5,0.96
211,Melanesia/ Polynesia,2,88.5,28,36,24.5,177,85,92,7,1.5,0.5,5,0.96
166,Mesoamerica,2,87,26,33,28,174,76,98,22,3,0.86,8,0.95
397,Mesoamerica,2,54.5,19,21.5,14,109,39,70,31,14,0.07,116,0.17
387,Mesoamerica,2,66,12,29,25,132,58,74,16,9,0.43,80,0.43
338,Mesoamerica,2,63.5,19,25.5,19,127,63,64,1,12,0.21,92.5,0.33
268,Mesoamerica,2,65,21,26.5,17.5,130,63,67,4,10,0.36,83,0.4
202,Mesoamerica,2,70.5,22.5,26,22,141,63,78,15,7,0.57,65.5,0.53
189,Mesoamerica,2,70,24.5,22.5,23,140,48,92,44,8,0.5,68.5,0.5
138,Mesoamerica,2,76.5,22,28,26.5,153,73,80,7,5,0.71,43.5,0.68
181,Mesoamerica,2,64,20.5,20.5,23,128,53,75,22,11,0.29,88.5,0.36
129,Mesoamerica,2,60.5,18.5,21,21,121,43,78,35,13,0.14,103,0.25
122,Mesoamerica,2,81.5,25,30.5,26,163,77,86,9,4,0.79,23,0.83
132,Mesoamerica,2,87.5,25,35,27.5,175,86,89,3,2,0.93,7,0.96
358,Mesoamerica,2,93.5,27.5,36,30,187,89,98,9,1,1,2.5,0.99
295,Mesoamerica,2,48,17,13,18,96,31,65,34,15,0,127,0.08
171,Mesoamerica,2,72.5,23,27.5,22,145,62,83,21,6,0.64,58,0.59
346,Polynesia,2,48,22,15,11,96,42,54,12,2,0,127,0.08
303,Polynesia,2,51,22,14.5,14.5,102,36,66,30,1,1,119.5,0.14
317,South East Asia (Islands),2,61.5,22.5,26,13,123,60,63,3,4,0.25,99,0.28
370,South East Asia (Islands),2,78.5,25,30.5,23,157,70,87,17,2.5,0.5,33.5,0.76
369,South East Asia (Islands),3,82.33,26.33,32.33,23.67,247,73,89,16,1,1,19,0.87
192,South East Asia (Islands),2,57,22.5,23,11.5,114,48,66,18,5,0,112,0.2
37,South East Asia (Islands),2,78.5,26.5,34.5,17.5,157,76,81,5,2.5,0.5,33.5,0.76
395,South East Asia (mainland),2,64,22,27.5,14.5,128,57,71,14,3,0.6,88.5,0.36
320,South East Asia (mainland),2,74,21.5,29.5,23,148,72,76,4,2,0.8,52,0.62
382,South East Asia (mainland),2,78,24.5,28,25.5,156,69,87,18,1,1,37,0.72
